pop,growth_estimate,count_last_year,id,sex,wings,head,pronotum,femur,body,Pht,Hs_obs,Hs_exp,IR,HL,37.4K_Pht,37.4K_Hs_obs,37.4K_Hs_exp,37.4K_IR,37.4K_HL
pop022,6.2,38,1,m,sw,5.67,4.93,16.61,17.11,0.195,0.975,0.783,0.227,0.733,0.167,0.962,0.47,0.543,0.799
pop022,6.2,38,2,m,sw,6.44,4.87,15.26,17.34,0.201,1.007,0.808,0.185,0.718,0.186,1.07,0.522,0.445,0.773
pop022,6.2,38,3,m,sw,5.55,4.83,16.21,17.24,0.176,0.884,0.709,0.278,0.747,0.165,0.948,0.463,0.513,0.796
pop022,6.2,38,4,m,sw,5.27,4.49,15.31,16.1,0.186,0.933,0.749,0.226,0.739,0.174,1.001,0.489,0.469,0.785
pop022,6.2,38,5,m,sw,5.49,4.61,15.4,16.03,0.174,0.872,0.7,0.278,0.754,0.162,0.932,0.455,0.51,0.8
pop022,6.2,38,6,m,sw,5.71,4.67,16.59,17.75,0.183,0.917,0.737,0.239,0.739,0.173,0.999,0.488,0.47,0.784
pop022,6.2,38,7,m,sw,5.89,4.78,16.01,17.48,0.18,0.903,0.725,0.262,0.746,0.165,0.949,0.464,0.503,0.798
pop022,6.2,38,8,m,sw,5.59,4.92,16.02,17.48,0.193,0.965,0.775,0.218,0.728,0.177,1.018,0.497,0.469,0.783
pop022,6.2,38,9,f,sw,6.63,5.37,18.05,22.21,NA,NA,NA,NA,NA,0.124,0.716,0.35,0.72,0.851
pop022,6.2,38,10,f,sw,5.9,5.09,16.49,18.8,0.204,1.024,0.822,0.198,0.711,0.165,0.949,0.463,0.572,0.801
pop022,6.2,38,11,f,sw,6.9,5.38,18.43,21.59,0.233,1.165,0.936,0.049,0.678,0.205,1.177,0.575,0.381,0.752
pop022,6.2,38,12,f,sw,6.61,5.8,18.67,20.93,0.221,1.107,0.889,0.105,0.69,0.197,1.135,0.554,0.409,0.759
pop022,6.2,38,13,f,sw,6.21,4.35,16.39,16.89,0.204,1.024,0.822,0.166,0.712,0.188,1.08,0.527,0.434,0.77
pop022,6.2,38,14,f,sw,5.99,5.48,19.45,23.07,NA,NA,NA,NA,NA,0.133,0.763,0.373,0.718,0.843
pop022,6.2,38,15,f,sw,6.11,5.45,18.99,21.14,0.227,1.138,0.913,0.081,0.689,0.2,1.151,0.562,0.403,0.759
pop022,6.2,38,16,f,sw,6.3,5.46,18.92,18.63,0.217,1.089,0.874,0.115,0.698,0.195,1.122,0.548,0.414,0.763
pop020,63.5,281,17,m,sw,4.74,4.64,15.96,17.8,0.197,0.99,0.795,0.208,0.734,0.188,1.08,0.528,0.448,0.775
pop020,63.5,281,18,m,sw,5.65,4.74,16.8,18.82,0.208,1.045,0.839,0.18,0.709,0.191,1.1,0.537,0.452,0.769
pop020,63.5,281,19,m,sw,6.15,4.42,15.49,17.93,0.195,0.979,0.786,0.204,0.73,0.187,1.076,0.526,0.445,0.775
pop020,63.5,281,20,m,sw,5.63,4.37,15.04,16.43,0.201,1.008,0.809,0.199,0.726,0.184,1.057,0.516,0.453,0.779
pop020,63.5,281,21,m,sw,5.53,4.26,15.38,16.69,0.204,1.023,0.821,0.191,0.724,0.185,1.067,0.521,0.457,0.778
pop020,63.5,281,22,m,sw,5.95,3.95,15.83,18.09,0.196,0.981,0.788,0.22,0.732,0.18,1.037,0.506,0.467,0.784
